Full_name,Client ID,Date of Birth,Country,ID Number,ID Type,Onboarding Date,KYC Status,Account Type,Aadhaar Number,PAN
Jenna Cook,CL536158,1956-06-27,Montenegro,sc667998,National ID,2024-07-29,,HNI,,
,CL173807,1982-08-01,Iran,Hb899730,Passport,2024-04-18,Complete,Retail,,
Arthur Orozco,CL298663,1977-11-21,Morocco,SB717957,National ID,2022-08-04,Complete,HNI,,
Corey Cooper,CL210639,1965-04-18,Central African Republic,is839597,National ID,2024-02-29,Incomplete,HNI,,
Megan Navarro,CL274912,2003-09-02,Israel,QE729341,National ID,2023-01-19,Incomplete,HNI,,
Larry Garcia,CL564531,1977-10-23,China,bw743380,Driver License,2023-08-12,Incomplete,Corporate,,
Carrie Villarreal,CL966286,1983-10-07,Guinea-Bissau,oh015619,National ID,2024-11-22,Complete,Corporate,,
Dr. Richard Hammond,CL366431,2001-11-27,Czech Republic,Td842891,Driver License,2024-05-13,Incomplete,Retail,,
Ryan Rodriguez,CL724702,1956-09-15,South Georgia and the South Sandwich Islands,,Passport,2025-02-05,Incomplete,Retail,,
Theresa Colon,CL997287,1952-05-11,New Zealand,kU812135,National ID,2023-09-29,Complete,Retail,,
Jonathan Oconnor,CL377860,1956-04-04,Russian Federatiol,CA255213,National ID,2022-07-13,Incomplete,Corporate,,
Kara Mitchell,CL327999,1961-02-26,Ecuadom,jW145653,National ID,2024-10-02,Incomplete,Retail,,
Brenda Patterson,CL836989,1977-05-10,Italy,Xa785072,Passport,2024-09-13,Incomplete,Retail,,
George Morales,CL182289,2002-01-23,Western Sahara,Kd260602,Driver License,2025-03-10,Incomplete,Corporate,,
Sheri Kaufman,CL907812,1978-01-13,Rwanda,rH684550,National ID,2025-02-05,Complete,HNI,,
Jared Schneider,CL419588,1986-07-20,Uruguay,tf997563,Driver License,2022-08-29,Complete,Corporate,,
Neil Singh,CL152973,1958-01-28,Mauritania,Jt884318,Driver License,2024-09-19,Complete,Retail,,
Caitlin Johnson,CL255202,2003-09-17,Guam,Gh894346,Passport,2022-10-04,Complete,HNI,,
Mark Gomez,CL626199,1952-10-01,Tajikistan,vp174907,National ID,2024-12-22,Complete,Corporate,,
Teresa Wade,CL783932,2006-12-21,Mongolia,Ri935449,National ID,2024-02-09,Complete,Retail,,
Ashley Black,CL817999,1962-08-09,Maly,ff571266,Passport,2022-10-07,Incomplete,Corporate,,
Karen Griffin,CL461260,1974-08-19,Jamaica,qL869886,Passport,2024-08-15,Complete,Corporate,,
Jeremiah Galvan,CL563690,1982-10-25,North Macedonia,TD622827,Driver License,2023-01-19,,Retail,,
Kendra Benson,CL894541,1980-06-29,Romania,MA702851,Passport,2022-12-21,Complete,Retail,,
Dylan Mills,CL972881,1957-07-07,British Indian Ocean Territory (Chagos Archipelago),bY545447,Passport,2023-02-09,Complete,Corporate,,
,CL319162,2002-11-03,Cambodia,lV960443,Passport,2024-07-31,Incomplete,HNI,,
Gregory Harrell,CL248213,1977-12-01,Afghanistan,Yy794975,National ID,2024-07-10,,HNI,,
Lisa Gill,CL367865,1983-11-07,Syrian Arab Republic,ZN777251,Driver License,2025-04-30,Incomplete,Retail,,
David Foster,CL169832,1986-04-26,Nigeria,KO074120,Driver License,2023-10-25,Incomplete,Retail,,
Maria Miller,CL499194,1991-08-09,Monacu,WE890983,National ID,2024-08-21,,Corporate,,
Matthew Schmidt,CL192296,1950-10-17,Ukraine,ZI433971,National ID,2025-01-30,Complete,Retail,,
Andrew Atkins,CL449773,1951-02-01,Gibraltar,uy562608,National ID,2023-08-06,Incomplete,HNI,,
Brett Jackson,CL347678,1959-04-21,Bermuda,Rk241246,National ID,2022-10-02,Complete,HNI,,
Catherine Reeves,CL954441,1969-10-13,Nicaragua,qy615265,National ID,2023-01-06,Complete,Retail,,
Paul Willis,CL243928,1983-01-19,Austria,,Driver License,2024-08-31,Complete,Corporate,,
Tiffany Adams,CL427557,1971-03-02,Sao Tome and Principe,AO786170,Driver License,2023-07-01,Complete,Retail,,
Debra Richmond,CL817276,1995-06-11,United States Minor Outlying Islands,AC138249,Passport,2022-11-10,Complete,Corporate,,
Christina Faulkner,CL252203,1974-11-27,Tanzania,Cc823868,National ID,2022-07-04,Incomplete,Retail,,
Ronald Roberts,CL224138,1960-11-22,Suriname,Ry007494,Passport,2023-12-30,Incomplete,Corporate,,
Lauren Dixon,CL881828,1952-08-06,Tajikistan,zS289141,National ID,2023-01-10,Incomplete,Retail,,
Justin Ramirez,CL293720,1978-11-24,Switzerland,,National ID,2023-05-26,Complete,HNI,,
Rebekah Henson,CL476712,1972-10-26,New Zealand,,Driver License,2025-03-15,Incomplete,HNI,,
Michelle Nelson,CL506281,1994-07-27,Eritrea,bS553795,Passport,2023-01-26,Complete,Retail,,
Lisa Smith,CL382967,1950-02-26,Oman,fY268768,Passport,2025-04-06,Complete,Retail,,
Andre Collier,CL613742,1995-03-17,Pakistao,yl715695,Driver License,2025-06-19,Incomplete,Corporate,,
Jacob Lee,CL964371,1950-02-20,Algeria,NO304531,Driver License,2023-10-16,Complete,HNI,,
Cynthia Snyder,CL144476,1974-03-16,North korea,mO047930,Passport,2024-03-09,Incomplete,HNI,,
Laura Snyder,CL761282,1987-01-19,Bouvet Island (Bouvetoyam,Li399921,Passport,2022-10-12,Incomplete,Corporate,,
Kelly Perez,CL274573,1985-02-05,Brunei Darussalam,RJ430894,National ID,2024-06-07,Complete,Corporate,,
Margaret Hahn,CL857750,1953-01-12,Afghanistan,DF566418,Passport,2024-01-15,Complete,Corporate,,
Stacey Walker,CL287567,1968-06-01,Maldives,mv687506,National ID,2022-11-07,Incomplete,Retail,,
Allison Mclaughlin,CL846030,1996-06-04,Turkmenistan,te613325,National ID,2025-03-01,Complete,Retail,,
John Morton,CL189450,1989-10-28,Niue,vd543173,Driver License,2023-12-03,Complete,Corporate,,
,CL279185,2003-07-17,Mali,OC319971,National ID,2024-12-18,Complete,Retail,,
Antonio Johnson,CL846635,1970-10-27,British Virgin Islands,,Driver License,2025-06-14,Incomplete,Corporate,,
Amy Lang,CL237962,1953-03-25,Bahrain,Jd496110,Passport,2023-10-04,Incomplete,Retail,,
Brendan Walton,CL669902,1965-05-14,Thailand,YB990767,National ID,2025-02-20,Complete,Retail,,
Matthew Lowe,CL530074,1951-04-09,Niger,ga785931,National ID,2025-01-12,Complete,HNI,,
Richard Lee,CL959959,1988-07-05,Rwanda,UN284567,Passport,2024-05-23,Complete,HNI,,
Robert Brown,CL134007,1970-09-17,Colombia,IX968549,National ID,2023-02-14,Complete,Retail,,
Larry Carter,CL398194,1950-01-19,Iran,Jd892038,National ID,2024-04-18,Complete,Corporate,,
Curtis Kerr,CL137581,2002-12-09,Guatemala,,Driver License,2022-10-17,Incomplete,Retail,,
John Holt,CL168079,1981-04-23,Guam,tA959959,Passport,2023-11-25,Incomplete,Corporate,,
Shawn Lozano,CL829630,1983-04-02,Central African Republic,np303379,Passport,2024-07-18,Complete,Corporate,,
Robin Aguirre,CL926471,1975-01-31,Saint Pierre and Miquelon,ew362050,Driver License,2022-08-18,Incomplete,Corporate,,
Dylan Lee,CL471042,1989-05-11,Moldova,lo500334,National ID,2023-08-14,Incomplete,Corporate,,
Ryan Sanchez,CL344026,1962-11-03,Saint Helena,yP024102,Passport,2022-12-22,,Retail,,
Elizabeth Allen,CL873291,2004-08-02,Guadeloupe,hj528961,National ID,2023-01-22,Incomplete,Retail,,
Joseph Benson,CL768470,1971-02-20,South Africa,mI963099,National ID,2023-10-02,Incomplete,Corporate,,
David Soto,CL631302,1968-07-24,Somalia,YE289731,Passport,2025-04-28,Incomplete,Corporate,,
Jordan Potter,CL130531,1993-05-26,Nicaragua,uT857872,Passport,2024-02-03,Incomplete,HNI,,
Michelle Simpson,CL137285,1967-10-06,Malta,mC969033,Driver License,2023-07-02,Incomplete,HNI,,
Jeffery Bennett,CL953715,1960-03-14,Indonesia,sC548121,National ID,2024-09-15,,HNI,,
Andrew Hunt,CL430828,1972-05-23,Guinea,ZF677665,Passport,2023-11-07,Incomplete,Corporate,,
Christopher Hall,CL132687,1993-06-02,Faroe Islande,IP151488,Driver License,2022-11-01,Complete,HNI,,
Darren Wilson,CL222520,1974-01-06,Solomon Islands,qt083535,Driver License,2025-05-29,Incomplete,HNI,,
Michael Bolton,CL349185,2000-09-13,Tanzanin,Yz840445,Driver License,2024-03-24,Incomplete,Retail,,
Mary Kennedy,CL197102,1984-05-21,Iran,oH263337,Passport,2024-12-30,Complete,Retail,,
Julie Olsen,CL649063,1972-09-07,Solomon Islands,CC153663,Driver License,2024-11-16,Complete,HNI,,
Kenneth Anderson,CL859767,1999-09-17,Antarctica (the territory South of 60 deg S),,Driver License,2022-07-18,Complete,Retail,,
,CL989322,2004-08-25,Luxembourg,WX553666,Passport,2025-06-09,Complete,Retail,,
Kevin Bradley,CL427659,1951-09-11,Mauritania,,Driver License,2023-02-04,Complete,Corporate,,
Wendy Carroll,CL658131,2003-11-19,Cape Verde,ze999663,Driver License,2024-10-10,Incomplete,Retail,,
Brian Hudson,CL753205,1980-03-24,Hungary,cS412182,Passport,2025-01-25,Incomplete,HNI,,
Cristian Pruitt,CL838568,1975-10-06,Liechtenstein,Dd433481,National ID,2024-01-26,Complete,Corporate,,
Gabriel Browning,CL565198,1976-02-12,Maldives,,Passport,2023-03-03,Complete,Retail,,
Jason Paul,CL510954,1975-12-22,Bouvet Island (Bouvetoya),kM323467,National ID,2024-12-12,Incomplete,HNI,,
Dale Moran,CL307772,1980-09-25,Wallis and Futuna,zM430271,National ID,2023-07-21,Complete,Corporate,,
Keith Henry,CL941325,1980-12-27,Malta,ST901475,Driver License,2023-10-08,,Corporate,,
Rhonda Thompson,CL588003,1966-06-16,India,SK296762,Passport,2022-11-28,Incomplete,Corporate,6032 4841 3768,GXXUA1511C
Jonathan Murray,CL440536,1954-06-26,Chad,ca765636,Passport,2023-07-27,,Retail,,
Breanna Santiago,CL279098,1981-02-03,Brazil,TC771183,Driver License,2023-02-05,Complete,HNI,,
Sarah Jackson,CL780999,1950-09-25,Iran,,Driver License,2025-01-30,Incomplete,HNI,,
Caleb Figueroa,CL674566,1960-12-18,Bolivia,ln104275,Driver License,2022-08-25,Incomplete,Retail,,
Cindy Horton,CL922412,2006-06-05,Uganda,Ma816470,National ID,2022-09-16,Complete,Retail,,
Dakota Wright,CL846490,1965-09-25,Sierra Leone,vm310600,Driver License,2025-05-24,Incomplete,Corporate,,
Tyler Davis,CL284731,2006-05-08,Paraguay,uu220681,Driver License,2024-11-22,,Retail,,
Daniel Weaver,CL959691,1978-08-15,Niue,la133155,Driver License,2024-03-18,Complete,Retail,,
James Ellis,CL708979,1953-12-29,Palau,At495013,National ID,2025-01-18,Complete,HNI,,
Mrs. Kimberly Mooney,CL508926,2007-05-18,Luxembourg,OS924195,Driver License,2024-02-26,Incomplete,Corporate,,
Patricia Anderson,CL419343,1961-06-07,Philippines,LC571509,Driver License,2024-02-16,Incomplete,Retail,,
Crystal Matthews,CL635218,1950-05-29,Malawi,VB309143,Passport,2023-07-16,Complete,Corporate,,
Chad Jimenez,CL100884,1963-04-02,Niger,CV263039,Driver License,2023-11-25,Incomplete,Retail,,
Mason Hodges,CL513420,1984-12-12,Burkina Faso,pn640355,National ID,2024-10-17,Incomplete,Corporate,,
Mary Wright,CL597938,1996-04-11,Austria,CO396852,National ID,2022-07-12,Incomplete,Corporate,,
Andrea Lee,CL802615,1992-09-02,Bahrain,JY232129,Passport,2023-05-16,,Retail,,
Jessica Mcdonald,CL789886,1960-09-03,Dominica,ts336293,Passport,2024-12-14,,HNI,,
Christina Huffman,CL927251,1982-03-31,Kiribati,CB156627,Driver License,2024-08-25,Incomplete,HNI,,
Paige Weiss,CL503402,2003-07-04,New Zealand,MI706614,Passport,2023-02-25,Complete,HNI,,
Dawn Ford,CL846722,1980-05-15,Micronesia,vi468971,Driver License,2024-06-30,Incomplete,Retail,,
Colton Smith,CL839122,1983-07-29,Congo,yF576665,National ID,2023-10-24,Complete,Retail,,
Mrs. Stacey Riddle,CL887042,1957-12-21,Norway,XW692364,Driver License,2023-12-26,Complete,Retail,,
